Ontology,OntologyLoadingTime_ns,MetricMeasuringTime_ns,TotalTime_ns
approximated_1cdf362c-2ae8-4727-b5e9-576130834e04_OBI.obo_functional.owl,1557721452,1595267377,3152988829
approximated_c2be6154-32e2-4603-829f-7d5b1d11b934_d0.owl_functional.owl,32248899,12715091,44963990
approximated_00535.owl_functional.owl,268689135,618481570,887170705
approximated_8d26f9a2-ef79-4a31-becf-0e57b2393271_undbericht.owl_functional.owl,17994196,15739451,33733647
approximated_3f2b94bf-d53a-4daf-946d-6c59da721e7c_Cola.rdf_functional.owl,19927845,6819706,26747551
approximated_702b8efb-32b2-4a87-8350-415581a69a16_Resistor.rdf_functional.owl,20804174,6311951,27116125
approximated_22b3b685-bd5e-47cd-a249-4830d6cf08c6_Fish_hook.rdf_functional.owl,21119810,6210257,27330067
approximated_c9cbf95b-a86d-41c2-85f9-8d759de6c1d9_sion.zfish.obo_functional.owl,261485223,567165267,828650490
06c9f57b-624c-4e3a-9610-48d68898db4c_HAO.obo_functional.owl,181281848,287136866,468418714
approximated_6d30d82d-ccfe-4993-b40a-958aa17be6f9_MSKB_ver1.owl_functional.owl,23015570,17991440,41007010
approximated_1f1074d7-d9d4-4a6b-8977-0a77b95392f8_interfaces.owl_functional.owl,17583059,10305459,27888518
approximated_tao.teleost-anatomy-ontology.135.owl.xml_functional.owl,134656090,312673598,447329688
approximated_77e55a95-d069-4da2-b261-57e89fcb896a_rTransport.owl_functional.owl,107674173,236201932,343876105
f24457ab-cea2-4017-b9f0-e77f9f1f4f39_notype_xp.owl2_functional.owl,321593653,195208339,516801992
approximated_052b7c55-4d02-4d5d-99f4-48676cb191e0_FYPO_functional.owl,92958782,297241307,390200089
approximated_5249685c-71db-4f8b-8746-00fe11948fa4_Mandoca.rdf_functional.owl,15926573,5367810,21294383
approximated_4e9382c4-e9aa-4494-96b1-14892f8a5695_Flail.ttl_functional.owl,19372047,5331034,24703081
approximated_6b6bbd7f-64af-446f-b47d-a11f97c191c3_Tilapia.ttl_functional.owl,17683748,5330531,23014279
approximated_4c0f61da-db43-40be-aea5-096d0e25cf87_eral_water.rdf_functional.owl,18164792,5562004,23726796
approximated_ddd751bd-f933-42b7-865d-e9aa08c3408b_ncertainty.owl_functional.owl,26476581,40916479,67393060
approximated_00627.owl_functional.owl,54572627,151700519,206273146
approximated_00f0d5f6-395b-4d82-97bd-75062b17681a_odore_CDTV.ttl_functional.owl,14756574,4124409,18880983
approximated_52d591c9-b4fc-4f87-99c4-8b81323a910f_Sun_valve.ttl_functional.owl,19260893,4176660,23437553
approximated_00039.owl_functional.owl,124068478,311723513,435791991
approximated_48bdccca-5b0c-48b6-b156-5f88a9662b1c_envirImpact.owl_functional.owl,85159262,158956106,244115368
approximated_6fce96ad-8afd-44a8-8828-258cac75fc7b_risdiction.owl_functional.owl,26620123,24501935,51122058
approximated_09b555c1-a7a1-4cc9-b9de-b53288f8fd91_onto.rdf_functional.owl,19189218,5912951,25102169
approximated_531c2d22-624b-47ae-8947-357b8894cb23_MF.owl_functional.owl,32383121,45458605,77841726
approximated_821570a0-d208-4173-a2f9-a885caabf71c_plusassocs.obo_functional.owl,20417623430,34471189187,54888812617
0b269d8d-1c50-45ce-ae4b-60a46714d203_classified.obo_functional.owl,505461664,883669043,1389130707
approximated_617ed6c6-5075-429e-aa0d-8f510bb901d7_Pentium_III.ttl_functional.owl,18726814,4346484,23073298
approximated_904615b5-96da-4a92-9a63-41b2f042c337_stermerged.owl_functional.owl,2172179080,727653736,2899832816
approximated_462bdf6b-f7ad-4c73-8244-024769021458_vertebrate.obo_functional.owl,1611280089,4025004770,5636284859
approximated_0a139bbb-6261-4262-b62c-c0d3733f5508_Drill_bit.ttl_functional.owl,98326769,3870293,102197062
approximated_ca495d9f-6fd0-455d-be1b-17538744f700_dinterests.owl_functional.owl,14651772,9611184,24262956
approximated_122239cd-6801-417a-81e4-5bb1fe1f464c_ZX80.ttl_functional.owl,83805483,3790649,87596132
approximated_kb-owl-syntax-coreference-IDs-km-relevant-cardinalities-disjointness-relation-axioms.ofn_functional.owl,2642403271,2087638607,4730041878
approximated_2968831e-1053-42e1-9bcc-b6da3f94d6f9_uowithpato.owl_functional.owl,64157324,135508312,199665636
approximated_c2d3e8f6-066c-4850-9cd3-befc930596a1_opentox.owl_functional.owl,12627900,4794524,17422424
approximated_1d340b73-57f7-4f92-9367-7f131dd2e647_htning_rod.rdf_functional.owl,14038514,4062060,18100574
approximated_kb-owl-syntax-unraveled-depth-4-km-relevant-cardinalities-constant-classes-value-classes.ofn_functional.owl,342860509,878041678,1220902187
approximated_320badf1-da62-42a0-9c1c-34bd80ee78c7_sequence.owl_functional.owl,47399202,109365372,156764574
3c57bcdc-f50b-4109-ae15-65fc2daca9b4_sterfamily.owl_functional.owl,193013053,472096136,665109189
1a474e7b-ad9f-47a1-a5b8-89ebb8d621c8_hpdisjoints.owl_functional.owl,232489843,698837283,931327126
approximated_8c9dbe2e-b0fc-4cb9-bba4-fb6903d70b05_realraum.owl_functional.owl,39288870,50496000,89784870
approximated_1b376225-5d7e-49ee-9513-3e00ee758f9b_dam_cheese.ttl_functional.owl,12590295,3901199,16491494
approximated_00523.owl_functional.owl,209072773,239019273,448092046
approximated_54870b9a-b785-423f-8341-593ccd22e96b_dar_cheese.rdf_functional.owl,21241893,4442653,25684546
218a127c-8d13-40af-9957-63c28b0a091e_elontology.owl_functional.owl,14375465,4603166,18978631
approximated_0a07d171-7ec3-4923-b804-27f35189d2ab_Smartphone.rdf_functional.owl,21599706,3901459,25501165
approximated_545c0c28-7fab-4d03-81c3-154ab2e6d066_chemistryv9.owl_functional.owl,10878853,8403261,19282114
069b23e0-2d3c-4532-af90-4a36ad576dc5_zoology.rdf_functional.owl,16197453,1458794,17656247
af9a1bd0-8eee-4803-87a4-da7fba1f9b80_mo_sapiens.obo_functional.owl,303642316,804855296,1108497612
88ca2646-c819-46af-a2a5-3edb2ad6283b_behaviorel.owl_functional.owl,49611974,85871350,135483324
approximated_11a6ae08-af8c-4b71-b899-4bc1ab375bb8_IL2.owl_functional.owl,100335198,16791672,117126870
approximated_d8aa63e6-e43a-41a6-a8da-9b3cee1f97af_onto.rdf_functional.owl,17543363,6531520,24074883
3aecbbdb-aae6-480e-9b07-4a92532c927e_nnisPlayer.owl_functional.owl,18419636,2419147,20838783
approximated_0a613e4d-9555-4e67-8830-b5f2d3277b53_PaulFisher.rdf_functional.owl,18058619,4010095,22068714
approximated_304e32d6-f5b0-4468-9712-744482cc13de_ossAnatomy.owl_functional.owl,54434420,113410237,167844657
