Ontology,OntologyLoadingTime_ns,MetricMeasuringTime_ns,TotalTime_ns
approximated_a8f6019c-f34e-4418-af12-f0f464881e4c_VAST2009all.owl_functional.owl,1613879261,197805380,1811684641
approximated_cd75b3f9-a5f7-4436-bf9e-c73dea998d92_onto.rdf_functional.owl,16051389,39542300,55593689
19c0e590-e643-49d7-b21f-2fc584b1ab11_t_annotate.obo_functional.owl,26238250,27584888,53823138
approximated_0e041011-1e56-459a-a749-5038f476ca3e_fearlus.owl_functional.owl,17091637,21064743,38156380
05aa3148-2984-473a-b4d7-5a97ef55b620_nsynset2D0.rdf_functional.owl,2254443358,4766383900,7020827258
approximated_a0f1fe03-9384-41b8-a338-81b935691ca7_dProtected.owl_functional.owl,162962992,383678603,546641595
aaff4dda-3125-4140-89fe-74647cbbba58_stdview.rdf_functional.owl,9122046,13739944,22861990
approximated_36bf65ea-821a-4868-aaaa-ba268d25b06c_Bollard.ttl_functional.owl,7718356,5846843,13565199
approximated_25026944-4e55-4055-9c7d-b733fd0752e8_Sight_glass.rdf_functional.owl,7215852,5547785,12763637
mat.minimal-anatomical-terminology.2.owl.xml_functional.owl,11839112,31665888,43505000
approximated_00014.owl_functional.owl,30891609,44077933,74969542
9b10aa7f-5d37-4a23-9dc8-c0e74b59d728_Film.owl_functional.owl,20814256,5624964,26439220
c4522b4a-8b40-45cd-a28e-130ae6f77616_loggerhead.obo_functional.owl,9049364,21581166,30630530
266078d7-4ebe-482d-98a2-090b4d640520_EbGdrcN5Y29ycA_functional.owl,6977595,7707248,14684843
e24d6190-e9dd-4ffe-bb50-e13016b382d9_Company.owl_functional.owl,7040310,1770158,8810468
approximated_74d155eb-2fac-447f-bc9d-a9a75b00a009_cery_store.ttl_functional.owl,6747583,7685470,14433053
approximated_bspo.spatial-ontology.20.owl.xml_functional.owl,8713466,20199647,28913113
approximated_23fee2e3-9ffc-4fce-86fd-342eeba74013_John_Dory.rdf_functional.owl,6141782,5168682,11310464
approximated_9833b76c-da15-4524-83af-85574d900520_u_dressing.rdf_functional.owl,6183030,5332928,11515958
approximated_d5526c43-5838-4a9c-af57-b8f625e26237_Leerdammer.ttl_functional.owl,6082237,5020911,11103148
approximated_cd8a38f3-171c-45fa-b461-fb3ce121cfb6_software.owl_functional.owl,4832278,5134938,9967216
approximated_kb-owl-syntax-unraveled-depth-3-km-relevant-cardinalities-triggers-relation-axioms.ofn_functional.owl,376229042,1175959492,1552188534
approximated_70aeb10e-eece-43b2-8b09-2f9ea45c1cfe___Koch_G36.ttl_functional.owl,6982494,5253103,12235597
approximated_75d9fe1b-71db-4e70-a109-bd304b2321a7_VRAM.ttl_functional.owl,6071362,5219608,11290970
approximated_8f89a31c-fe5f-46b1-9b07-d9dc72b50e03_pban.owl_functional.owl,10188234,5834827,16023061
approximated_8fca389d-d850-405f-b461-c6ce2ab6feb7_premises663.rdf_functional.owl,7352755,11575399,18928154
approximated_01e61578-858f-498c-9aba-2401be843c1b_nry_trowel.ttl_functional.owl,6299878,5242066,11541944
approximated_35a36bb9-c479-4063-a445-a9a4c676755c_Azorubine.ttl_functional.owl,5905856,5163243,11069099
approximated_24faf36b-9a27-4f92-b4c1-770320f7d109_Gummi_candy.ttl_functional.owl,5660765,4960287,10621052
approximated_1b9bc6c9-d156-4a1c-a821-014fcf3ae7c5_20090907.rdf_functional.owl,10319600,14840717,25160317
approximated_kb-owl-syntax-unraveled-depth-4-triggers.ofn_functional.owl,321631208,825144248,1146775456
approximated_ep.cardiac-electrophysiology-ontology.2.owl.xml_functional.owl,3234055020,7205662582,10439717602
approximated_f345c79b-a278-41a6-b109-44ba64739788_PaulFisher.rdf_functional.owl,28200494,6630669,34831163
74315bf7-bb8f-4a98-95d2-f260450b6ee9_lCharacter.owl_functional.owl,19659343,3655147,23314490
approximated_dd922e1f-73f2-43fb-9a84-6664f9c4d6d3_temetazoan.owl_functional.owl,2366885492,5569023942,7935909434
approximated_cfe00e32-c9b8-404c-9f5a-07b042d046c9_codtools_02.owl_functional.owl,16386564,11706544,28093108
approximated_4a243936-cf39-4269-b053-24e2e8820fb0_Gyrodyne.rdf_functional.owl,19164544,4171908,23336452
approximated_dfc18503-60bd-4cf0-8e46-46da849392d3_Grounding.owl_functional.owl,18170110,7579176,25749286
approximated_a3f0aaeb-b9cc-4337-882c-cb968126a9f2_higgins.owl_functional.owl,17258463,5128668,22387131
approximated_1c3bac4f-4f4e-4518-bc86-0377d3dc6c32_Wahoo.rdf_functional.owl,15069579,3792060,18861639
92a9f2e8-3e78-4470-ba97-727b01ed6b3a_Station.owl_functional.owl,16426326,2443243,18869569
approximated_3d18c527-3dc1-4a8e-a715-b5e912ff6c48_calisation.owl_functional.owl,17796791,4549443,22346234
approximated_a8009033-f351-4981-aef6-bbf8c91567ab_odData.owl_functional.owl,15366219,7722643,23088862
