Ontology,OntologyLoadingTime_ns,MetricMeasuringTime_ns,TotalTime_ns
approximated_a8f6019c-f34e-4418-af12-f0f464881e4c_VAST2009all.owl_functional.owl,2063295702,203794459,2267090161
approximated_cd75b3f9-a5f7-4436-bf9e-c73dea998d92_onto.rdf_functional.owl,35101329,27464005,62565334
19c0e590-e643-49d7-b21f-2fc584b1ab11_t_annotate.obo_functional.owl,28537738,32956207,61493945
approximated_0e041011-1e56-459a-a749-5038f476ca3e_fearlus.owl_functional.owl,31873180,27102342,58975522
05aa3148-2984-473a-b4d7-5a97ef55b620_nsynset2D0.rdf_functional.owl,2265552207,4808760778,7074312985
approximated_a0f1fe03-9384-41b8-a338-81b935691ca7_dProtected.owl_functional.owl,242088320,359372601,601460921
aaff4dda-3125-4140-89fe-74647cbbba58_stdview.rdf_functional.owl,18651226,20530568,39181794
approximated_36bf65ea-821a-4868-aaaa-ba268d25b06c_Bollard.ttl_functional.owl,23499044,8834442,32333486
approximated_25026944-4e55-4055-9c7d-b733fd0752e8_Sight_glass.rdf_functional.owl,23857332,7949355,31806687
mat.minimal-anatomical-terminology.2.owl.xml_functional.owl,27391858,28896756,56288614
approximated_00014.owl_functional.owl,57898049,44488360,102386409
9b10aa7f-5d37-4a23-9dc8-c0e74b59d728_Film.owl_functional.owl,44476628,8358278,52834906
c4522b4a-8b40-45cd-a28e-130ae6f77616_loggerhead.obo_functional.owl,26757198,35325512,62082710
266078d7-4ebe-482d-98a2-090b4d640520_EbGdrcN5Y29ycA_functional.owl,18439630,12250704,30690334
e24d6190-e9dd-4ffe-bb50-e13016b382d9_Company.owl_functional.owl,20959210,2862316,23821526
approximated_74d155eb-2fac-447f-bc9d-a9a75b00a009_cery_store.ttl_functional.owl,17036930,11638419,28675349
approximated_bspo.spatial-ontology.20.owl.xml_functional.owl,27760610,31181233,58941843
approximated_23fee2e3-9ffc-4fce-86fd-342eeba74013_John_Dory.rdf_functional.owl,10800190,8249539,19049729
approximated_9833b76c-da15-4524-83af-85574d900520_u_dressing.rdf_functional.owl,20935871,8194238,29130109
approximated_d5526c43-5838-4a9c-af57-b8f625e26237_Leerdammer.ttl_functional.owl,19498281,8183819,27682100
approximated_cd8a38f3-171c-45fa-b461-fb3ce121cfb6_software.owl_functional.owl,15428309,8006720,23435029
approximated_kb-owl-syntax-unraveled-depth-3-km-relevant-cardinalities-triggers-relation-axioms.ofn_functional.owl,520318139,1160705518,1681023657
approximated_70aeb10e-eece-43b2-8b09-2f9ea45c1cfe___Koch_G36.ttl_functional.owl,21275422,5084880,26360302
approximated_75d9fe1b-71db-4e70-a109-bd304b2321a7_VRAM.ttl_functional.owl,16392891,5179397,21572288
approximated_8f89a31c-fe5f-46b1-9b07-d9dc72b50e03_pban.owl_functional.owl,25550085,5933056,31483141
approximated_8fca389d-d850-405f-b461-c6ce2ab6feb7_premises663.rdf_functional.owl,21646914,11518907,33165821
approximated_01e61578-858f-498c-9aba-2401be843c1b_nry_trowel.ttl_functional.owl,11968417,5665192,17633609
approximated_35a36bb9-c479-4063-a445-a9a4c676755c_Azorubine.ttl_functional.owl,13971122,4996985,18968107
approximated_24faf36b-9a27-4f92-b4c1-770320f7d109_Gummi_candy.ttl_functional.owl,13707172,4663852,18371024
approximated_1b9bc6c9-d156-4a1c-a821-014fcf3ae7c5_20090907.rdf_functional.owl,16901633,15761714,32663347
approximated_kb-owl-syntax-unraveled-depth-4-triggers.ofn_functional.owl,329711275,961224809,1290936084
approximated_ep.cardiac-electrophysiology-ontology.2.owl.xml_functional.owl,3252962541,7104040954,10357003495
approximated_f345c79b-a278-41a6-b109-44ba64739788_PaulFisher.rdf_functional.owl,17905844,4090340,21996184
74315bf7-bb8f-4a98-95d2-f260450b6ee9_lCharacter.owl_functional.owl,19316445,3497478,22813923
approximated_dd922e1f-73f2-43fb-9a84-6664f9c4d6d3_temetazoan.owl_functional.owl,2351774036,5363187126,7714961162
approximated_cfe00e32-c9b8-404c-9f5a-07b042d046c9_codtools_02.owl_functional.owl,22539786,13928687,36468473
approximated_4a243936-cf39-4269-b053-24e2e8820fb0_Gyrodyne.rdf_functional.owl,33079157,4891333,37970490
approximated_dfc18503-60bd-4cf0-8e46-46da849392d3_Grounding.owl_functional.owl,16148576,8636411,24784987
approximated_a3f0aaeb-b9cc-4337-882c-cb968126a9f2_higgins.owl_functional.owl,15119900,4859931,19979831
approximated_1c3bac4f-4f4e-4518-bc86-0377d3dc6c32_Wahoo.rdf_functional.owl,16412057,3792583,20204640
92a9f2e8-3e78-4470-ba97-727b01ed6b3a_Station.owl_functional.owl,16224080,2863445,19087525
approximated_3d18c527-3dc1-4a8e-a715-b5e912ff6c48_calisation.owl_functional.owl,17263687,4098514,21362201
approximated_a8009033-f351-4981-aef6-bbf8c91567ab_odData.owl_functional.owl,16329226,7760964,24090190
approximated_4a6e0711-cac1-4153-82f9-1a729636c163_CPR.owl_functional.owl,37414105,44972673,82386778
wb-phenotype.c-elegans-phenotype-vocabulary.195.owl.xml_functional.owl,63248635,136889463,200138098
approximated_45c105f1-be30-4d21-acaa-545093e8a3c2_COSMOr603.owl_functional.owl,284045084,414258244,698303328
approximated_59c23576-3905-4768-807c-e42953a49469_PA8000.ttl_functional.owl,17462137,3933722,21395859
approximated_2bef0cf8-78c8-4930-8f10-3cd63f3ced94_unitcomplex_functional.owl,18513094,13302911,31816005
approximated_c111b583-ea49-41d1-8301-7bf4cd420885_ebbp2.0.3.owl_functional.owl,17125737,10619342,27745079
59c2a3d4-020a-4a2a-8b2f-a9a9c096e102_HP.obo_functional.owl,207043696,662399500,869443196
c6fe1d07-3a65-44b7-bb6e-5be86e59feaa_pr_import.owl_functional.owl,11789353,15488851,27278204
approximated_312ead57-98a6-4831-9cfc-efc961e02d26_74181.rdf_functional.owl,14057265,3756977,17814242
approximated_kb-owl-syntax-unraveled-depth-2-triggers.ofn_functional.owl,376974850,936249146,1313223996
96fca1bc-6cbd-4edf-9155-62885ac3321c_icsCreator.owl_functional.owl,22068945,2195165,24264110
approximated_7508fb18-a372-461b-861f-3e1d236f466c_qudt_functional.owl,17736467,9373467,27109934
approximated_00708.owl_functional.owl,154697390,28812827,183510217
approximated_839b2cf5-ecb9-4418-85c6-4427ff7aebd2_matrIon.owl_functional.owl,231904735,214183027,446087762
approximated_1cdf362c-2ae8-4727-b5e9-576130834e04_OBI.obo_functional.owl,2024272951,1537685949,3561958900
approximated_c2be6154-32e2-4603-829f-7d5b1d11b934_d0.owl_functional.owl,27842272,12178073,40020345
approximated_00535.owl_functional.owl,264162636,606297606,870460242
approximated_8d26f9a2-ef79-4a31-becf-0e57b2393271_undbericht.owl_functional.owl,47073137,9674820,56747957
approximated_3f2b94bf-d53a-4daf-946d-6c59da721e7c_Cola.rdf_functional.owl,17703741,4081000,21784741
approximated_702b8efb-32b2-4a87-8350-415581a69a16_Resistor.rdf_functional.owl,15490689,4223929,19714618
approximated_22b3b685-bd5e-47cd-a249-4830d6cf08c6_Fish_hook.rdf_functional.owl,14964342,4484417,19448759
approximated_c9cbf95b-a86d-41c2-85f9-8d759de6c1d9_sion.zfish.obo_functional.owl,374670675,535522557,910193232
06c9f57b-624c-4e3a-9610-48d68898db4c_HAO.obo_functional.owl,88479713,270162121,358641834
approximated_6d30d82d-ccfe-4993-b40a-958aa17be6f9_MSKB_ver1.owl_functional.owl,22170879,15155381,37326260
approximated_1f1074d7-d9d4-4a6b-8977-0a77b95392f8_interfaces.owl_functional.owl,19902511,8471016,28373527
approximated_tao.teleost-anatomy-ontology.135.owl.xml_functional.owl,136325792,300582729,436908521
