Ontology	OntologyLoading	Classification
/media/uoa/Data1/ore2014_dataset/ClassificationEL/01696fcb-aaae-4967-a355-6495c56d940f_ings_v3.01.rdf_functional.owl	796691328	215404083
/media/uoa/Data1/ore2014_dataset/ClassificationEL/017ba95a-fd2a-4957-894a-eab3f6fe846a_humancobra.owl_functional.owl	954131780	318893586
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0184bd80-510f-4470-b515-29ceda7e21b4_egoryFoafAgent_functional.owl	813285560	232332287
/media/uoa/Data1/ore2014_dataset/ClassificationEL/01951143-a1ee-44e6-93eb-0b82c695c0e4_gumo.owl_functional.owl	886992815	245088360
/media/uoa/Data1/ore2014_dataset/ClassificationEL/01c6900c-64b6-43ca-b529-c83ea06637b2__component.owl_functional.owl	838040338	276503011
/media/uoa/Data1/ore2014_dataset/ClassificationEL/01c9d8c9-b9a0-4a82-a405-85f29d76cebb_nnotations.owl_functional.owl	10562875622	2891684090
/media/uoa/Data1/ore2014_dataset/ClassificationEL/01d8952e-9fe6-4df0-b521-857ac465edcb_xco.obo_functional.owl	840691987	244165369
/media/uoa/Data1/ore2014_dataset/ClassificationEL/01e6c221-0cc3-4315-9d50-aad6d8f1dc4d_MAT.obo_functional.owl	829046181	226337877
/media/uoa/Data1/ore2014_dataset/ClassificationEL/01f8e992-0d68-48cc-9f0a-d005cd56547e_s_musculus.obo_functional.owl	1194890008	483965158
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02026428-5edc-4e90-aa69-6e841e891c69_d_nesting.owl2_functional.owl	778731196	213635162
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02210f4d-8e32-412d-88aa-13494ff93163_n_anatomy.owl2_functional.owl	894107063	294560905
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0223fe0b-6717-4e60-bdde-d6c4b4bedba0_onto.rdf_functional.owl	748208284	209610226
/media/uoa/Data1/ore2014_dataset/ClassificationEL/022cbd0a-7c5f-49a5-b294-80c3e4859d7d_classified.owl_functional.owl	789085795	230696871
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02359e23-1f62-4cf6-83b4-2d75088fc4b6_lom.owl_functional.owl	789469420	189953848
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0236fd90-bb5c-4c11-ac91-d3be2fa17611_es_bridge.owl2_functional.owl	1236380325	453157722
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02544518-4782-4794-93b8-2b7556fbdab3_agrovoc.owl_functional.owl	1251524345	481970289
/media/uoa/Data1/ore2014_dataset/ClassificationEL/026f5d10-35d6-4928-97bf-7e74282f3e7c_velopment.owl2_functional.owl	789502463	274791625
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02848000-8a45-4114-a9ea-0b062dcc27b4_sh_anatomy.obo_functional.owl	1067076343	417673959
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0289874e-4b78-4e47-b349-bf866a9c1044_er_anatomy.owl_functional.owl	971675570	363968652
/media/uoa/Data1/ore2014_dataset/ClassificationEL/028f4d47-8b9f-4408-9f32-f64909152c1c_onto.rdf_functional.owl	800784128	205772349
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02a11281-47b3-484f-b817-e052aa0926f5_ogyProtege.owl_functional.owl	1158329425	521426009
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02a1b623-a63b-425e-bb23-789e98a33591_ss_xp_self.obo_functional.owl	860642345	314790740
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02a93afd-d26b-46b4-8c27-158c0cff8f63_loggerhead.owl_functional.owl	775715950	207765418
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02aabb7a-7881-4639-9ec6-c0bf1722e0b5_flanzenatlas_K_functional.owl	811589478	205999446
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02ab3076-f809-4d05-9a69-773b08f2b1a6_ehdaa2.owl_functional.owl	1065733078	601163695
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02b17082-5f51-41ee-8750-74f7c79c3026_Actor.owl_functional.owl	815025250	266321493
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02bf5bf4-13c5-417b-88cc-f8f4a06f59c1_zz.owl_functional.owl	783978897	215166135
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02ce1c5e-99f2-4209-abfa-4ab6055ebc99_flanzenatlas_H_functional.owl	773577369	219357443
/media/uoa/Data1/ore2014_dataset/ClassificationEL/031191c6-b4f6-46b7-bc5d-4755e3836523_fbspsimple.owl_functional.owl	1050342003	397339100
/media/uoa/Data1/ore2014_dataset/ClassificationEL/032ec1a0-864c-48d8-b381-cf2a152ec49a_oc.obo.CURRENT_functional.owl	837986819	258977364
/media/uoa/Data1/ore2014_dataset/ClassificationEL/033a534e-490c-4caf-a5a2-1ba8f4b0ff19_onto.rdf_functional.owl	821031213	204235643
/media/uoa/Data1/ore2014_dataset/ClassificationEL/03450d8d-e27b-4763-b000-6129473bfff4_mp.obo_functional.owl	1179853642	449081227
/media/uoa/Data1/ore2014_dataset/ClassificationEL/034c7b8c-06dd-4c6f-b1b4-1ce3e84c9b07_PW.obo_functional.owl	882022915	271545408
/media/uoa/Data1/ore2014_dataset/ClassificationEL/034dfba3-de08-41c0-a828-1e4fd9ffacfa_ct.obo.CURRENT_functional.owl	900759205	300116690
/media/uoa/Data1/ore2014_dataset/ClassificationEL/035dec2d-84f6-44cd-9ea2-cc909cf701b2_p.obo.PREVIOUS_functional.owl	833663151	275360729
/media/uoa/Data1/ore2014_dataset/ClassificationEL/03aca579-e70f-47ec-a5d4-5a80624e1ab0_1_inferred.owl_functional.owl	902091676	499201400
/media/uoa/Data1/ore2014_dataset/ClassificationEL/03b7d71f-8d52-4d70-8000-9209ef0958dc_LIQO_ver1.0.owl_functional.owl	836119891	-36701444765843
/media/uoa/Data1/ore2014_dataset/ClassificationEL/03d08800-8a69-4aa1-9857-90813d251be8_imitive1.0.owl_functional.owl	812795819	187049004
/media/uoa/Data1/ore2014_dataset/ClassificationEL/03e89000-6869-4c1c-95dc-bd069b154b3a_classified.owl_functional.owl	822234881	220343264
/media/uoa/Data1/ore2014_dataset/ClassificationEL/04096b24-000d-4d49-94bc-1ee51d41f07e_ontoderm.owl_functional.owl	828532806	249441750
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0431efde-8b36-4395-9dfd-2cec62ded032_y.obo.PREVIOUS_functional.owl	906068144	335115133
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0439ba09-2667-4b33-993a-7db4ae2ef8b9_miro.obo_functional.owl	1019387078	350207705
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0441386e-7bc3-4e91-8ca3-4fe712bfe748_idomal.obo_functional.owl	907169925	325587062
