Ontology	OntologyLoading	Classification
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00026.owl_functional.owl	2080054439	35146824816
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00030.owl_functional.owl	1008180470	3798070900
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00031.owl_functional.owl	1013929903	4075505405
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00052.owl_functional.owl	1340784911	2406805681
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00053.owl_functional.owl	839230999	-240180807741819
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00076.owl_functional.owl	780728458	177835558
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00137.owl_functional.owl	824571183	192938716
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00138.owl_functional.owl	817284185	249024922
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00139.owl_functional.owl	786254145	202260338
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00140.owl_functional.owl	850512921	416620159
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00141.owl_functional.owl	766897897	170132568
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00142.owl_functional.owl	883016518	516051439
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00143.owl_functional.owl	818889001	418916276
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00144.owl_functional.owl	891204694	637176822
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00146.owl_functional.owl	842754621	479842999
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00147.owl_functional.owl	751580625	178511414
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00148.owl_functional.owl	798628124	307924428
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00149.owl_functional.owl	773697359	238325504
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00160928-56f7-4a74-81ea-1adc92544a13_classified.obo_functional.owl	1009501355	829333327
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00177.owl_functional.owl	853887263	546897361
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00304.owl_functional.owl	766963699	219849682
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00309.owl_functional.owl	773756225	199959863
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0031e842-675f-4d7f-bc0c-0483801ad743_umls.owl_functional.owl	762656474	-240203519923798
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00322.owl_functional.owl	883948728	-240204572226038
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00372.owl_functional.owl	827241247	415498675
