Ontology	OntologyLoading	Classification
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00026.owl_functional.owl	2009337376	38076249560
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00030.owl_functional.owl	1007234977	3708908178
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00031.owl_functional.owl	1006247479	4191447257
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00052.owl_functional.owl	1406126319	2562076663
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00053.owl_functional.owl	844297915	-1312851833932
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00076.owl_functional.owl	782370946	180580610
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00137.owl_functional.owl	767824816	186609293
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00138.owl_functional.owl	801388811	255534401
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00139.owl_functional.owl	803080142	196218464
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00140.owl_functional.owl	852206407	429867087
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00141.owl_functional.owl	808960532	167013067
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00142.owl_functional.owl	854559307	499353849
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00143.owl_functional.owl	855347972	449634973
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00144.owl_functional.owl	957172387	566313945
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00146.owl_functional.owl	878095215	494552410
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00147.owl_functional.owl	754678891	185203082
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00148.owl_functional.owl	819460235	308026210
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00149.owl_functional.owl	778811271	209893741
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00160928-56f7-4a74-81ea-1adc92544a13_classified.obo_functional.owl	988070275	884558716
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00177.owl_functional.owl	825025666	513234402
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00304.owl_functional.owl	777304572	210460695
/media/uoa/Data1/ore2014_dataset/ClassificationEL/00309.owl_functional.owl	756164352	200588048
