Ontology	OntologyLoading	Classification
/media/uoa/Data1/ore2014_dataset/ClassificationEL/01696fcb-aaae-4967-a355-6495c56d940f_ings_v3.01.rdf_functional.owl	813952729	-45577948291585
/media/uoa/Data1/ore2014_dataset/ClassificationEL/017ba95a-fd2a-4957-894a-eab3f6fe846a_humancobra.owl_functional.owl	970890257	1162406463
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0184bd80-510f-4470-b515-29ceda7e21b4_egoryFoafAgent_functional.owl	839650862	-45581192748478
/media/uoa/Data1/ore2014_dataset/ClassificationEL/01951143-a1ee-44e6-93eb-0b82c695c0e4_gumo.owl_functional.owl	888591324	320585458
/media/uoa/Data1/ore2014_dataset/ClassificationEL/01c6900c-64b6-43ca-b529-c83ea06637b2__component.owl_functional.owl	872635610	448956051
/media/uoa/Data1/ore2014_dataset/ClassificationEL/01d8952e-9fe6-4df0-b521-857ac465edcb_xco.obo_functional.owl	864209232	266229510
/media/uoa/Data1/ore2014_dataset/ClassificationEL/01e6c221-0cc3-4315-9d50-aad6d8f1dc4d_MAT.obo_functional.owl	811414001	277813713
/media/uoa/Data1/ore2014_dataset/ClassificationEL/01f8e992-0d68-48cc-9f0a-d005cd56547e_s_musculus.obo_functional.owl	1214578047	918637494
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02026428-5edc-4e90-aa69-6e841e891c69_d_nesting.owl2_functional.owl	813559151	273426517
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02210f4d-8e32-412d-88aa-13494ff93163_n_anatomy.owl2_functional.owl	911206295	529911135
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0223fe0b-6717-4e60-bdde-d6c4b4bedba0_onto.rdf_functional.owl	811602969	176874081
/media/uoa/Data1/ore2014_dataset/ClassificationEL/022cbd0a-7c5f-49a5-b294-80c3e4859d7d_classified.owl_functional.owl	779313861	282215448
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02359e23-1f62-4cf6-83b4-2d75088fc4b6_lom.owl_functional.owl	806009650	176030717
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0236fd90-bb5c-4c11-ac91-d3be2fa17611_es_bridge.owl2_functional.owl	1161789254	962921501
